"treatment","stem_length","days_to_flower"
"high_water",1.8,132
"high_water",1.8,123
"high_water",2.45,134.5
"high_water",2.5,125
"high_water",2.15,120.5
"low_water",2.3,101
"high_water",1.05,129.5
"high_water",2.7,130
"high_water",0.2,129.5
"high_water",1.6,114.5
"high_water",4.5,98
"low_water",2.7,114.5
"high_water",3.85,100
"low_water",2.7,132
"high_water",9.05,103.5
"low_water",1.05,125.5
"high_water",4.55,96
"low_water",1.85,127
"high_water",3.2,94
"low_water",2.65,108.5
"high_water",3.4,102
"low_water",1.45,145
"high_water",5.15,100
"low_water",1.7,115
"high_water",4.4,99
"low_water",0.4,119
"high_water",1.6,103
"low_water",0.45,127.5
"high_water",5.8,96
"low_water",1.4,115
"high_water",4.1,99
"low_water",1.75,104
"high_water",4.9,94
"low_water",0.3,134.5
"high_water",2.6,94
"low_water",2.75,117
"high_water",3.25,90
"low_water",1.35,97.5
"high_water",3.9,88.5
"low_water",2.1,102.5
"high_water",5.75,93.5
"low_water",0.95,106.5
"high_water",4.35,95.5
"high_water",3.9,90.5
"low_water",2.85,117.5
"high_water",4.6,88.5
"low_water",1,102.5
"high_water",4.4,92
"low_water",0.8,111
"high_water",15.2,94.5
"low_water",0.5,132
"high_water",9.8,94
"low_water",4.25,120.5
"high_water",3.25,98.5
"low_water",1.75,125.5
"high_water",3.85,97
"low_water",1.3,103
"high_water",0.7,91
"low_water",0.35,107.5
"high_water",1.7,99
"low_water",1.9,108.5
"high_water",2.85,98
"low_water",2.45,122.5
"high_water",8,83.5
"low_water",1.85,105.5
"high_water",3.1,95
"low_water",1.95,108.5
"high_water",2.95,94.5
"low_water",2.1,118.5
"high_water",7,95
"low_water",3.05,115
"high_water",3.9,105
"low_water",3.9,107
"high_water",4.65,97.5
"high_water",6.53333333333333,94
"low_water",2.55,122
"high_water",4.05,97.3333333333333
"low_water",1.85,128.5
"high_water",5.35,95.5
"low_water",3.3,113
"high_water",4.4,104
"low_water",2.3,122.5
"high_water",5,97
"low_water",1.95,110
"high_water",7.65,98
"low_water",2.5,128
"high_water",6.35,96
"low_water",2.25,122
"high_water",6.05,75.5
"low_water",2.2,88
"high_water",9.4,77.5
"low_water",1.05,83.5
"high_water",11.5,76
"low_water",3.8,77
"high_water",12.4,76.5
"low_water",2.9,82.5
"high_water",5.3,80
"low_water",1.5,82
"high_water",8.45,85.5
"low_water",2.6,82.5
"high_water",9.85,75
"low_water",5.25,80.5
"high_water",11.6666666666667,81
"low_water",2.3,84
"high_water",3.2,92
"low_water",1.6,112.5
"high_water",10.65,78
"low_water",3.35,77.5
"high_water",7.6,89
"low_water",1.95,104
"high_water",3.1,99
"low_water",1.85,111
"high_water",5,90
"low_water",1.2,104.5
"high_water",5.15,95.5
"low_water",1.3,108
"high_water",3.3,99.5
"low_water",0.65,115
"high_water",4.6,99
"low_water",0.6,128.5
"high_water",4.3,99
"low_water",3.2,115
"high_water",3.8,96.5
"low_water",2.65,112
"high_water",3.56666666666667,94
"low_water",2.05,111.5
"high_water",7,99
"low_water",1.4,118.5
"high_water",43.15,78.5
"low_water",5.65,79.5
"high_water",18.65,77.5
"low_water",7.95,66
"high_water",19.1,55
"low_water",7.03333333333333,65
"high_water",31.4,47
"low_water",6.05,59.5
"high_water",31.1,76
"low_water",6.65,76.5
"high_water",40.9,59.5
"low_water",10.45,59.5
"high_water",26.25,65
"low_water",6.9,57.5
"high_water",32.2,60
"low_water",10.4,60
"high_water",12.85,75.5
"low_water",5.3,67.5
"high_water",21.7,51
"low_water",12.5,48.5
"high_water",2.1,105
"high_water",8.15,92.5
"low_water",3.45,115.5
"high_water",4.5,100
"low_water",1.35,126
"high_water",2.2,95
"low_water",2.4,103.5
"high_water",2.4,100
"low_water",0.3,133.5
"high_water",4.15,91.5
"low_water",2.8,105.5
"high_water",5.5,96
"low_water",3,125
"high_water",1.43333333333333,106
"low_water",2.35,146
"high_water",2.2,99.5
"low_water",0.75,128
"high_water",4.65,104.5
"low_water",0.55,136
"high_water",7.1,94
"low_water",2.9,117.5
"high_water",2.3,96
"low_water",1.7,104
"high_water",16.7,94.5
"low_water",3.6,112
"high_water",4.63333333333333,98
"low_water",0.6,110.5
"high_water",3.6,95.5
"low_water",0.45,103
"high_water",3.5,95.5
"low_water",1.95,110.5
"high_water",2.85,95.25
"low_water",0.9,107
"high_water",4.3,97
"low_water",0.6,128
"high_water",3.25,93.5
"low_water",1.6,113.5
"high_water",2.7,97
"low_water",1.05,118
"high_water",5.3,91.5
"low_water",3.45,105.5
"high_water",5.6,89
"low_water",2.1,103.5
"high_water",4.15,88
"low_water",1.2,96
"high_water",4.46666666666667,91
"low_water",3,106
"high_water",5.15,90.5
"low_water",1.2,105
"high_water",13.9,70.5
"low_water",4.35,69
"high_water",20.1,71
"low_water",2.8,75
"high_water",30.1,65.5
"low_water",5.65,60.5
"high_water",4.3,92.5
"low_water",4.75,114.5
"high_water",4.23333333333333,90.3333333333333
"low_water",0.5,107.5
"high_water",9.7,72
"low_water",6.8,77
"high_water",9.1,73.6666666666667
"low_water",2.86666666666667,82.6666666666667
"high_water",11.65,68.5
"low_water",3.95,68.5
"high_water",11.8666666666667,74.3333333333333
"low_water",1.7,70
"high_water",12,74
"low_water",2.05,80.5
"high_water",13.85,70.5
"low_water",1.5,82
"high_water",13.4333333333333,72.3333333333333
"low_water",3,77.5
"high_water",9,75
"low_water",2.6,71
"high_water",6.9,74
"low_water",5.3,84
"high_water",4.8,96.5
"low_water",4.4,101.5
"high_water",4.7,93
"low_water",2.35,112
"high_water",4.73333333333333,92.3333333333333
"low_water",3.3,102
"high_water",5.6,95
"low_water",2.65,116
"high_water",4.1,90.5
"low_water",1.45,97.5
"high_water",4.15,95
"low_water",1.95,105.5
"high_water",5.05,91
"low_water",2.35,96
"high_water",4.4,95
"low_water",1.85,123.5
"high_water",5.55,92.5
"low_water",1.15,115
"high_water",6.6,92
"low_water",5.95,106.5
"high_water",6.95,92.5
"low_water",2.55,112
"high_water",5.2,90.6666666666667
"low_water",3.5,125.5
"high_water",3.8,97
"low_water",2.35,119
"high_water",10.1,91
"low_water",1.9,106
"high_water",5.55,97
"low_water",2.45,133.5
"high_water",5.1,96
"low_water",3.75,103.5
"high_water",5.4,87.5
"low_water",3.95,99
"high_water",2.45,94.5
"low_water",1.85,111.5
"high_water",5.75,91.5
"low_water",2.8,112.5
"high_water",2.8,96
"low_water",2.4,116
"high_water",5.5,88.5
"low_water",1.4,96
"high_water",5.3,95.6666666666667
"low_water",3,107
"high_water",4.3,91
"low_water",2.05,105.5
"high_water",6.35,92.5
"low_water",1.65,105
"high_water",6.85,91
"low_water",1.3,110
"high_water",3.3,83.5
"low_water",1.8,95
"high_water",6.45,90.5
"low_water",2.7,97
"high_water",5.15,93
"low_water",2.3,103.5
"high_water",5.5,86.5
"low_water",4.25,109
"high_water",4.6,91.5
"low_water",3.15,94
"high_water",3.6,91
"low_water",2.3,109.5
"high_water",3.95,92
"low_water",0.2,118
"high_water",3.6,91
"low_water",2.3,108
"low_water",0.7,105
"high_water",5.05,94.5
"low_water",2.03333333333333,118
"high_water",1.95,96
"low_water",1.75,107.5
"high_water",1.83333333333333,107.666666666667
"low_water",1.95,132
"high_water",1.95,103.5
"low_water",4.8,122
"high_water",2.1,101
"low_water",3.2,123.5
"high_water",1.55,106
"low_water",1.5,119
"high_water",3.55,101.5
"low_water",0.8,135
"high_water",3.2,94.5
"low_water",0.7,109
"high_water",0.9,102.5
"low_water",2.15,121.5
"high_water",1.15,113.5
"high_water",0.75,117
"high_water",1.2,100
"low_water",0.5,122
"high_water",2.05,110
"high_water",2.83333333333333,111.333333333333
"low_water",1.4,139
"high_water",2.5,95
"low_water",2.7,160
"high_water",2.56666666666667,102.333333333333
"low_water",1.5,127
"high_water",6.25,87.5
"low_water",1.2,100
"high_water",3.75,92.5
"low_water",0.7,109.5
"high_water",5.8,91.5
"low_water",2.6,99
"high_water",5.75,97.5
"low_water",4.8,110.5
"high_water",5.3,91
"low_water",1.25,105.5
"high_water",4.25,93.5
"low_water",2.25,99.5
"high_water",5.55,90.5
"low_water",2.7,103.5
"high_water",5.1,87.5
"low_water",2.25,88
"low_water",1.45,96
"high_water",4.95,96.5
"low_water",2.8,102
"high_water",4.05,96
"low_water",1.1,103
"high_water",7.56666666666667,91.3333333333333
"low_water",4.75,102.5
"high_water",8.3,98
"low_water",1.9,137.5
"high_water",5.85,99.5
"low_water",1.45,133
"high_water",6.6,97.3333333333333
"low_water",3.7,113
"high_water",7.7,95
"low_water",1.5,107.5
"high_water",3.25,100
"low_water",0.9,119.5
"high_water",2.2,112
"low_water",1.7,120
"high_water",3.2,95
"low_water",0.5,129
"high_water",8.05,97
"low_water",2.5,122
"high_water",16.8,64
"low_water",9.3,70.5
"high_water",22.35,58
"low_water",7.5,62
"high_water",20,82
"low_water",2.8,94.5
"high_water",15.9,78
"low_water",4.55,76
"high_water",20.25,72.5
"low_water",6.5,72
"low_water",12.8,64
"high_water",17.5,72
"low_water",8.8,66
"high_water",26.45,68.5
"low_water",4.1,66
"high_water",10.3,60
"low_water",3.25,58
"high_water",10.15,72.5
"low_water",2.2,67
