Site,Name,Country,Rainfall,Temperature,Elevation,Latitude,Longitude,C3_C4,Vegetation,Ecoregion,ECORGN_Bailey,Reference,Start,End,N_years,N_trtmt,Ny_x_Nt,AGbiomass/litter ,Bgbiomass,ANPP_lit,BNPP_lit,TNPP_lit,NYR,MAX_MON,ANPP1,ANPP2,ANPP3,ANPP4,ANPP5,ANPP6,BNPP1,BNPP2,BNPP3,BNPP4,BNPP5,NPP1,NPP2,NPP3,NPP4,NPP5
bcn,Beacon Hill,U.K.,858,11.0,205,50.92,-0.85,C3,chalk grassland,Humid temperate,Humid temperate broadleaf forest (243),Williamson (1976),1972,1973,1,1,1,monthly,N/A,691,-9999,-9999,1,8,355,574,287,287,333,287,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
bdk,Badkhyz,Turkmenistan,310,12.6,700,35.68,62.00,C3,desert steppe,Temperate dry steppe,Temperate dry steppe (343),Gilmanov et al. (1997),1948,1982,34,1,34,monthly,N/A,100,-9999,-9999,17,5,54,-9999,50,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
brd,Bridger,U.S.A.,395,2.7,2340,45.78,-110.78,C3,mountain grassland,Cold Steppe,Alpine meadow steppe (M331),Sims and Singh  (1978),1970,1972,2,2,4,monthly,monthly,249,471,720,2,8,223,232,134,134,138,136,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
chr,Charleville,Australia,457,19.4,304,-26.40,146.27,C3,semi-arid grassland,Savanna,Savanna (411/416),Christie (1978),1973,1974,1,2,2,monthly,monthly,122,60,182,1,2,120,-9999,116,114,-9999,-9999,-9999,95,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
clb,Calabozo,Venezuela,1252,28.3,98,8.93,-67.42,C4,closed bush island savanna,Humid savanna,Humid savanna (414/415),San Jose and Medina (1976),1969,1987,2,2,4,monthly,single,375,307,682,2,8,309,1125,278,278,1121,313,-9999,291,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
cns,Cañas,Costa Rica,1926,28.0,45,10.40,-85.10,C4,derived savanna,Humid savanna,Humid savanna (412),Daubenmire (1972),1969,1970,1,1,1,monthly,N/A,1387,-9999,-9999,2,6,472,-9999,400,258,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
cpr,CPER,U.S.A.,334,9.9,1625,40.82,-104.77,C4,shortgrass prairie,Temperate dry steppe,Temperate dry steppe (311/315),Lauenroth and Sala (1992),1939,1990,51,5,75,monthly,N/A,172,568,740,3,7,198,192,102,172,216,172,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
ctt,Cottonwood,U.S.A.,400,8.4,744,43.95,-101.87,C3,mixed prairie,Temperate dry steppe,Temperate dry steppe (331),Sims and Singh  (1978),1970,1972,3,2,6,bi-weekly,N/A,249,547,796,3,6,188,246,182,203,362,265,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
dck,Dickinson,U.S.A.,425,4.8,784,46.90,-102.82,C3,mixed prairie,Temperate dry steppe,Temperate dry steppe (331),Sims and Singh  (1978),1970,1970,1,2,2,monthly,monthly,351,932,1283,1,9,270,366,233,264,503,502,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
dzh,Dhzanybek,Kazakhstan,291,5.0,20,49.33,46.78,C3,semi-desert steppe,Temperate steppe,Temperate dry steppe (342),Gilmanov et al. (1997),1955,1989,33,1,33,monthly,N/A,201,-9999,-9999,5,6,149,-9999,139,185,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
hys,Hays,U.S.A.,564,12.2,714,38.87,-99.38,C4,mixed prairie,Temperate steppe,Temperate dry steppe/ Humid prairie (332/,Sims and Singh  (1978),1970,1970,1,2,2,monthly,monthly,363,1062,1425,1,7,225,225,225,235,436,319,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
jrn,Jornada,U.S.A.,276,14.9,1350,32.60,-106.85,C4,desert grassland,Savanna,Sub-tropical semi-desert (321),Sims and Singh  (1978),1970,1972,3,2,6,monthly,monthly,148,147,295,3,9,103,104,96,111,168,137,-9999,138,-9999,-9999,-9999,-9999,230,-9999,-9999,-9999
khm,Khomutov,Ukraine,424,11.1,75,47.17,38.00,C3,typical steppe,Humid temperate,Humid temperate prairie (332),Gilmanov et al. (1997),1967,1970,4,1,4,monthly,N/A,460,-9999,-9999,4,6,366,429,366,295,330,371,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
kln,Klong Hoi Khong,Thailand,1541,26.4,30,6.33,100.93,C4,humid savanna,Humid savanna,Humid savanna (423),Kamnalrut and Evenson (1992),1984,1990,6,2,7,monthly,monthly,1595,625,2220,6,8,353,612,228,304,610,604,784,746,450,518,670,1137,1358,678,822,1280
knz,Konza,U.S.A,859,12.6,400,39.10,-96.61,C4,tallgrass prairie,Humid temperate,Humid temperate prairie (251/255),Abrams et al. (1986),1976,1990,14,1,14,monthly,N/A,394,-9999,-9999,7,8,327,-9999,260,300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
krk,Kurukshetra,India,688,23.6,247,29.97,76.85,C4,tropical grassland,Humid savanna,Savanna (412),Singh and Yadava (1974),1970,1971,1,1,1,monthly,monthly,1706,1832,3538,2,7,1387,1692,1241,1075,1255,1173,-9999,671,-9999,-9999,-9999,-9999,2363,-9999,-9999,-9999
krs,Kursk,Russia,594,6.1,250,51.67,36.50,C3,meadow steppe,Humid temperate,Humid temperate prairie (252),Gilmanov et al. (1997),1954,1983,29,1,29,monthly,monthly,774,1700,2474,29,7,372,652,339,329,671,507,1426,2438,748,784,1281,1958,3291,1230,1231,1995
lmt,Lamto,Cote d’Ivoire,1165,28.8,300,6.22,-5.03,C4,humid savanna,Humid savanna,Humid savanna (414),Menaut and Cesar (1979),1969,1987,8,2,9,monthly,monthly,830,1320,2150,8,6,446,389,308,295,411,404,-9999,1499,-9999,-9999,-9999,-9999,1942,-9999,-9999,-9999
mdl,Media Luna,Argentina,338,5.5,630,-45.60,-71.42,C3,grassland steppe,Temperate steppe,Temperate dry steppe (331/332),Defosse et al. (1990) ,1981,1983,2,1,2,monthly,N/A,35,-9999,-9999,2,7,34,282,19,15,75,64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
mnt,Montecillo,Mexico,580,14.2,2240,19.46,-98.91,C4,saline grassland,Humid savanna,Forest-meadow-paramo (M421*),Garcia-Moya and Montanez  Castro(1992),1984,1994,11,2,17,monthly,monthly,1063,678,1741,10,9,304,705,269,281,609,281,619,1229,332,553,1211,934,1961,607,844,1783
mtd,Matador,Canada,350,3.0,676,50.70,-107.72,C3,mixed grassland,Temperate steppe,temperate dry steppe (330),Coupland (1993),1968,1972,5,2,10,monthly,N/A,431,-9999,-9999,5,7,131,560,109,109,600,246,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
nls,Nylsvley,South Africa,666,17.1,1100,-24.65,28.70,C4,broad-leaved savanna,Savanna,Savanna (314),Scholes and Walker (1993),1974,1989,4,1,4,monthly,monthly,76,-9999,-9999,4,4,87,-9999,63,40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
nrb,Nairobi,Kenya,677,19.7,1600,-1.33,36.83,C4,grass savanna,Savanna,Savanna (413/416),Kinyamario and Imbamba (1992) ,1984,1994,8,2,11,monthly,monthly,811,431,1242,10,6,237,638,172,202,488,419,225,298,168,161,362,462,921,340,363,850
osg,Osage,U.S.A.,1014,15.2,392,36.95,-96.55,C4,tallgrass prairie,Humid temperate,Humid temperate/ subtropical praire (255),Sims and Singh  (1978),1970,1972,3,2,6,monthly,monthly,346,542,887,3,7,287,429,285,293,540,456,-9999,506,-9999,-9999,-9999,-9999,974,-9999,-9999,-9999
otr,Otradnoe,Russia,485,8.6,50,60.83,30.25,C3,loamy meadow,Humid temperate,Humid temperate prairie (212),Gilmanov et al. (1997),1969,1973,4,2,8,monthly,monthly,306,650,956,4,7,244,294,233,234,292,296,636,701,266,269,410,881,995,500,503,702
shr,Shortandy,Kazakhstan,350,1.3,367,51.67,71.00,C3,dry steppe,Cold Steppe,Cold desert steppe (331),Gilmanov et al. (1997),1975,1978,3,1,3,monthly,monthly,335,1745,2080,3,6,138,297,123,109,249,141,2514,3387,1333,1415,1783,2652,3684,1456,1524,2032
tll,Tullgarnsnaset,Sweden,528,2.5,0,59.20,17.50,C3,shoreline meadow,Humid temperate,Humid temperate mixed forest (242),Wallentinus  (1973),1968,1969,1,2,2,monthly,N/A,430,-9999,-9999,1,7,296,339,282,251,361,293,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
tmg,Tumugi,China,411,2.1,191,46.10,123.00,C3,meadow steppe,Cold Steppe,Cold desert steppe (333,Xiao et al. (1996),1981,1990,10,3,30,monthly,monthly,155,-9999,-9999,10,9,152,-9999,149,151,-9999,-9999,979,-9999,119,113,-9999,1130,-9999,269,275,-9999
tmn,Tumentsogt,Mongolia,269,1.7,1100,47.40,112.50,C3,typical steppe,Cold Steppe,Cold desert steppe (333),Togtohyn et al. (1996),1982,1990,9,1,9,monthly,N/A,160,-9999,-9999,9,8,174,-9999,105,118,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
tva,Tuva,Russia,285,-4.3,800,51.83,94.42,C3,ultra-continental steppe,Cold Steppe,Cold desert steppe (333),Gilmanov et al. (1997),1978,1985,6,1,6,monthly,monthly,150,-9999,-9999,2,7,123,152,109,144,147,151,610,-9999,0,-9999,-9999,733,-9999,109,-9999,-9999
xln,Xilingol,China,361,-2.0,1200,43.72,116.63,C3,steppe,Cold Steppe,Cold desert steppe (333),Xiao et al. (1995),1980,1989,10,1,10,monthly,N/A,249,-9999,-9999,7,8,174,-9999,159,157,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
